year,month,pollutant,emission_Gg
2001,5,BC,0.15072272
2001,6,BC,0.03811676
2001,7,BC,0.0200958
2001,8,BC,0.098346032
2001,9,BC,0.630868096
2001,10,BC,1.71770112
2001,11,BC,0.471672096
2001,12,BC,0.014538688
2001,1,NOx,0.0
2001,2,NOx,0.084097856
2001,3,NOx,1.838972416
2001,4,NOx,9.726879744
2001,5,NOx,1.00020768
2001,6,NOx,0.257207632
2001,7,NOx,0.102251168
2001,8,NOx,0.509773536
2001,9,NOx,3.681792256
2001,10,NOx,9.033209856
2001,11,NOx,2.57325568
2001,12,NOx,0.088738304
2002,1,CO,0.770796544
2002,2,CO,16.478572544
2002,3,CO,116.452352
2002,4,CO,52.38255616
2002,5,CO,39.991959552
2002,6,CO,16.584675328
2002,7,CO,5.172326912
2002,8,CO,28.378621952
2002,9,CO,82.021834752
2002,10,CO,27.679397888
2002,11,CO,32.92760064
2002,12,CO,0.0
2002,1,PM2.5,0.164492448
2002,2,PM2.5,2.289531904
2002,3,PM2.5,17.496614912
2002,4,PM2.5,7.742830592
2002,5,PM2.5,5.620707328
2002,6,PM2.5,2.296207872
2002,7,PM2.5,0.659164928
2002,8,PM2.5,4.373492224
2002,9,PM2.5,11.900845056
2002,10,PM2.5,3.800717312
2002,11,PM2.5,5.527058944
2002,12,PM2.5,0.0
2002,1,OC,0.121241488
2002,2,OC,1.41077696
2002,3,OC,10.875464704
2002,4,OC,4.87630336
2002,5,OC,3.398193664
2002,6,OC,1.403222272
2002,7,OC,0.38763456
2002,8,OC,2.868860928
2002,9,OC,7.33552384
2002,10,OC,2.2944256
2002,11,OC,3.72653696
2002,12,OC,0.0
2002,1,BC,0.0058481115
2002,2,BC,0.092437496
2002,3,BC,0.628369344
2002,4,BC,0.285401408
2002,5,BC,0.19063528
2002,6,BC,0.078037408
2002,7,BC,0.01948811
2002,8,BC,0.135776336
2002,9,BC,0.401534592
2002,10,BC,0.1296804
2002,11,BC,0.19995592
2002,12,BC,0.0
2002,1,NOx,0.028249944
2002,2,NOx,0.679781632
2002,3,NOx,4.131958528
2002,4,NOx,1.836239488
2002,5,NOx,1.167840256
2002,6,NOx,0.470975648
2002,7,NOx,0.100809768
2002,8,NOx,0.62902656
2002,9,NOx,2.385008128
2002,10,NOx,0.80033024
2002,11,NOx,1.151912576
2002,12,NOx,0.0
2003,1,CO,0.426401408
2003,2,CO,15.611480064
2003,3,CO,230.211764224
2003,4,CO,252.148072448
2003,5,CO,285.665001472
2003,6,CO,36.837859328
2003,7,CO,15.84307712
2003,8,CO,3.0659648
2003,9,CO,8.211604992
2003,10,CO,35.387736064
2003,11,CO,15.05398784
2003,12,CO,1.715277056
2003,1,PM2.5,0.083060872
2003,2,PM2.5,2.639940864
2003,3,PM2.5,35.259224064
2003,4,PM2.5,40.371564544
2003,5,PM2.5,36.924735488
2003,6,PM2.5,4.901701632
2003,7,PM2.5,3.01486208
2003,8,PM2.5,0.539995008
2003,9,PM2.5,1.451475328
2003,10,PM2.5,4.864681984
2003,11,PM2.5,2.252281088
2003,12,PM2.5,0.24687808
2003,1,OC,0.05990684
2003,2,OC,1.789800192
2003,3,OC,21.738479616
2003,4,OC,25.767962624
2003,5,OC,21.802049536
2003,6,OC,2.927897856
2003,7,OC,2.132882048
2003,8,OC,0.360034144
2003,9,OC,0.981300992
2003,10,OC,2.921826816
2003,11,OC,1.4096672
2003,12,OC,0.140865888
2003,1,BC,0.0030707595
2003,2,BC,0.100648968
2003,3,BC,1.250649728
2003,4,BC,1.426645248
2003,5,BC,1.076338432
2003,6,BC,0.151480416
2003,7,BC,0.114059048
2003,8,BC,0.018472538
2003,9,BC,0.056534032
2003,10,BC,0.199100128
2003,11,BC,0.089416896
2003,12,BC,0.008617859
2003,1,NOx,0.016476578
2003,2,NOx,0.6339056
2003,3,NOx,7.946779136
2003,4,NOx,8.603107328
2003,5,NOx,5.399908352
2003,6,NOx,0.821981504
2003,7,NOx,0.652333888
2003,8,NOx,0.100039584
2003,9,NOx,0.35763504
2003,10,NOx,1.494403968
2003,11,NOx,0.630985088
2003,12,NOx,0.059561144
2004,1,CO,1.466433792
2004,2,CO,6.301677056
2004,3,CO,21.453514752
2004,4,CO,71.298613248
2004,5,CO,14.547401728
2004,6,CO,18.449993728
2004,7,CO,6.759159808
2004,8,CO,9.824628736
2004,9,CO,33.883705344
2004,10,CO,407.109009408
2004,11,CO,31.991453696
2004,12,CO,2.70356864
2004,1,PM2.5,0.22586464
2004,2,PM2.5,1.109142656
2004,3,PM2.5,3.902169344
2004,4,PM2.5,12.417159168
2004,5,PM2.5,2.393311744
2004,6,PM2.5,2.877995008
2004,7,PM2.5,0.813790272
2004,8,PM2.5,1.811390592
2004,9,PM2.5,5.733279744
2004,10,PM2.5,66.032136192
2004,11,PM2.5,4.3013248
2004,12,PM2.5,0.414116544
2004,1,OC,0.141723472
2004,2,OC,0.758394688
2004,3,OC,2.614303744
2004,4,OC,8.08098048
2004,5,OC,1.509791104
2004,6,OC,1.713250176
2004,7,OC,0.466360032
2004,8,OC,1.262373376
2004,9,OC,3.579076352
2004,10,OC,40.996409344
2004,11,OC,2.610157312
2004,12,OC,0.26385928
2004,1,BC,0.008395593
2004,2,BC,0.0443835
2004,3,BC,0.146292992
2004,4,BC,0.445714528
2004,5,BC,0.090617944
2004,6,BC,0.093279512
2004,7,BC,0.024143634
2004,8,BC,0.06444154
2004,9,BC,0.197292976
2004,10,BC,2.277307392
2004,11,BC,0.163355024
2004,12,BC,0.014153726
2004,1,NOx,0.055373632
2004,2,NOx,0.285290336
2004,3,NOx,0.9011792
2004,4,NOx,2.689811712
2004,5,NOx,0.605395968
2004,6,NOx,0.558251776
2004,7,NOx,0.13044044
2004,8,NOx,0.34374704
2004,9,NOx,1.199742592
2004,10,NOx,13.92084992
2004,11,NOx,1.133242752
2004,12,NOx,0.091211984
2005,1,CO,0.0
2005,2,CO,1.00255936
2005,3,CO,73.03405568
2005,4,CO,51.562262528
2005,5,CO,10.1877504
2005,6,CO,3.53681664
2005,7,CO,8.265825792
2005,8,CO,59.373723648
2005,9,CO,23.773446144
2005,10,CO,145.4850048
2005,11,CO,29.313140736
2005,12,CO,0.21360408
2005,1,PM2.5,0.0
2005,2,PM2.5,0.194655664
2005,3,PM2.5,12.022833152
2005,4,PM2.5,8.29671424
2005,5,PM2.5,1.7262304
2005,6,PM2.5,0.5095376
2005,7,PM2.5,1.125080064
2005,8,PM2.5,8.354098688
2005,9,PM2.5,4.087427328
2005,10,PM2.5,24.099080192
2005,11,PM2.5,5.113432576
2005,12,PM2.5,0.041293912
2005,1,OC,0.0
2005,2,OC,0.139834432
2005,3,OC,7.820344832
2005,4,OC,5.209161728
2005,5,OC,1.11293888
2005,6,OC,0.319699072
2005,7,OC,0.68876544
2005,8,OC,5.257083904
2005,9,OC,2.711975168
2005,10,OC,15.82480384
2005,11,OC,3.46454656
2005,12,OC,0.029858948
2005,1,BC,0.0
2005,2,BC,0.0072464995
2005,3,BC,0.43370544
2005,4,BC,0.30672944
2005,5,BC,0.061357444
2005,6,BC,0.017456114
2005,7,BC,0.035605448
2005,8,BC,0.249693904
2005,9,BC,0.153231152
2005,10,BC,0.896850048
2005,11,BC,0.19542096
2005,12,BC,0.001519816375
2005,1,NOx,0.0
2005,2,NOx,0.039554108
2005,3,NOx,2.630138624
2005,4,NOx,2.017704576
2005,5,NOx,0.38191936
2005,6,NOx,0.1026482
2005,7,NOx,0.19298784
2005,8,NOx,1.160875008
2005,9,NOx,0.948811328
2005,10,NOx,5.55789568
2005,11,NOx,1.20951232
2005,12,NOx,0.008063279
2006,1,CO,0.395403936
2006,2,CO,8.388069376
2006,3,CO,51.671502848
2006,4,CO,61.489577984
2006,5,CO,176.327180288
2006,6,CO,5.761856512
2006,7,CO,2.009180032
2006,8,CO,7.68673792
2006,9,CO,32.858984448
2006,10,CO,58.71992832
2006,11,CO,30.268012544
2006,12,CO,2.490002944
2006,1,PM2.5,0.036460032
2006,2,PM2.5,1.523596416
2006,3,PM2.5,8.783117312
2006,4,PM2.5,8.973575168
2006,5,PM2.5,22.182182912
2006,6,PM2.5,0.68814144
2006,7,PM2.5,0.289375424
2006,8,PM2.5,1.510035968
2006,9,PM2.5,5.802763776
2006,10,PM2.5,11.367552
2006,11,PM2.5,5.855682048
2006,12,PM2.5,0.3936056
2006,1,OC,0.01867102
2006,2,OC,1.054515584
2006,3,OC,5.656791552
2006,4,OC,5.46983424
2006,5,OC,12.72576512
2006,6,OC,0.39440672
2006,7,OC,0.165959584
2006,8,OC,1.066611072
2006,9,OC,3.904223232
2006,10,OC,8.067616768
2006,11,OC,4.134229248
2006,12,OC,0.240686336
2006,1,BC,0.002031020125
2006,2,BC,0.059824104
2006,3,BC,0.358942944
2006,4,BC,0.33449664
2006,5,BC,0.632272384
2006,6,BC,0.019270814
2006,7,BC,0.012526353
2006,8,BC,0.055013796
2006,9,BC,0.21452504
2006,10,BC,0.417743168
2006,11,BC,0.218014064
2006,12,BC,0.013687876
2006,1,NOx,0.020064
2006,2,NOx,0.370421376
2006,3,NOx,2.527002624
2006,4,NOx,2.264409856
2006,5,NOx,3.221887232
2006,6,NOx,0.094038136
2006,7,NOx,0.102244976
2006,8,NOx,0.299116864
2006,9,NOx,1.281948544
2006,10,NOx,2.284096256
2006,11,NOx,1.223536384
2006,12,NOx,0.086690952
2007,1,CO,3.994262016
2007,2,CO,19.203733504
2007,3,CO,44.679983104
2007,4,CO,75.368054784
2007,5,CO,23.739541504
2007,6,CO,6.483116544
2007,7,CO,29.199706112
2007,8,CO,96.439697408
2007,9,CO,24.299429888
2007,10,CO,121.696190464
2007,11,CO,81.780604928
2007,12,CO,2.707283456
2007,1,PM2.5,0.786501824
2007,2,PM2.5,3.693516032
2007,3,PM2.5,7.869684736
2007,4,PM2.5,12.021690368
2007,5,PM2.5,4.000062976
2007,6,PM2.5,1.003064896
2007,7,PM2.5,3.983272704
2007,8,PM2.5,16.739395584
2007,9,PM2.5,4.300240896
2007,10,PM2.5,23.031107584
2007,11,PM2.5,14.395106304
2007,12,PM2.5,0.479823744
2007,1,OC,0.562073664
2007,2,OC,2.612032
2007,3,OC,5.197668864
2007,4,OC,7.754176512
2007,5,OC,2.6183168
2007,6,OC,0.615385024
2007,7,OC,2.253187584
2007,8,OC,11.220875264
2007,9,OC,2.912356864
2007,10,OC,16.069809152
2007,11,OC,9.764606976
2007,12,OC,0.330548576
2007,1,BC,0.028874752
2007,2,BC,0.141021312
2007,3,BC,0.323222016
2007,4,BC,0.458403776
2007,5,BC,0.155842384
2007,6,BC,0.040754844
2007,7,BC,0.169712064
2007,8,BC,0.625601088
2007,9,BC,0.165149344
2007,10,BC,0.86193952
2007,11,BC,0.545762176
2007,12,BC,0.01792888
2007,1,NOx,0.155715264
2007,2,NOx,0.818392512
2007,3,NOx,2.226712832
2007,4,NOx,2.9857728
2007,5,NOx,1.036746048
2007,6,NOx,0.299473568
2007,7,NOx,1.383817728
2007,8,NOx,3.801844224
2007,9,NOx,1.02460064
2007,10,NOx,4.96942592
2007,11,NOx,3.329537024
2007,12,NOx,0.105045728
2008,1,CO,1.500542464
2008,2,CO,72.778358784
2008,3,CO,261.847138304
2008,4,CO,254.131994624
2008,5,CO,20.926756864
2008,6,CO,11.42782976
2008,7,CO,20.61568
2008,8,CO,25.567594496
2008,9,CO,35.357945856
2008,10,CO,231.704723456
2008,11,CO,42.537762816
2008,12,CO,3.216513792
2008,1,PM2.5,0.324543488
2008,2,PM2.5,12.6902528
2008,3,PM2.5,44.78226432
2008,4,PM2.5,36.353355776
2008,5,PM2.5,2.950701568
2008,6,PM2.5,1.569444736
2008,7,PM2.5,2.453911552
2008,8,PM2.5,4.348162048
