year,pollutant,season,emission_Gg,baseline,emission_index
2003,OC,Autumn,6.606635093688965,35.78824702898661,18.46034841644503
2003,OC,Spring,70.60096740722656,39.30364545186361,179.62956513459739
2004,OC,Annual,71.39996337890625,78.37537384033203,91.0999972062191
2004,OC,Autumn,59.99880599975586,35.78824702898661,167.64946869613357
2004,OC,Spring,9.0062255859375,39.30364545186361,22.91447900670614
2005,OC,Annual,21.628582000732422,78.37537384033203,27.596145244288884
2005,OC,Autumn,11.304667472839355,35.78824702898661,31.587653521233282
2005,OC,Spring,8.260405540466309,39.30364545186361,21.016894095951184
2006,OC,Annual,26.72125816345215,78.37537384033203,34.09394667499674
2006,OC,Autumn,8.377191543579102,35.78824702898661,23.40766100332887
2006,OC,Spring,17.000253677368164,39.30364545186361,43.25363075592797
2007,OC,Annual,27.04854393005371,78.37537384033203,34.51153417801563
2007,OC,Autumn,10.700948715209961,35.78824702898661,29.900734468896317
2007,OC,Spring,6.603445053100586,39.30364545186361,16.80110070499193
2008,OC,Annual,46.67981719970703,78.37537384033203,59.559291283004455
2008,OC,Autumn,16.45087242126465,35.78824702898661,45.96724843197909
2008,OC,Spring,25.850540161132812,39.30364545186361,65.77135495686467
2009,OC,Annual,40.52320861816406,78.37537384033203,51.70400679774594
2009,OC,Autumn,13.006059646606445,35.78824702898661,36.341706359834326
2009,OC,Spring,25.99466323852539,39.30364545186361,66.1380463304908
2010,OC,Annual,37.77583312988281,78.37537384033203,48.198600247624384
2010,OC,Autumn,26.8614559173584,35.78824702898661,75.05664050994737
2010,OC,Spring,8.563472747802734,39.30364545186361,21.78798594723404
2011,OC,Annual,69.98190307617188,78.37537384033203,89.29067849646304
2011,OC,Autumn,54.26137161254883,35.78824702898661,151.61785255533738
2011,OC,Spring,13.243951797485352,39.30364545186361,33.69649722111815
2012,OC,Annual,27.75439453125,78.37537384033203,35.41213670992095
2012,OC,Autumn,4.705041408538818,35.78824702898661,13.146889828741767
2012,OC,Spring,19.713985443115234,39.30364545186361,50.158160182010505
2013,OC,Annual,45.72947692871094,78.37537384033203,58.34674169704376
2013,OC,Autumn,25.231403350830078,35.78824702898661,70.50192575901792
2013,OC,Spring,18.894107818603516,39.30364545186361,48.07215107245895
2014,OC,Annual,110.74504852294922,78.37537384033203,141.30082332820686
2014,OC,Autumn,71.2000732421875,35.78824702898661,198.9481999062965
2014,OC,Spring,35.602508544921875,39.30364545186361,90.58322233372823
2015,OC,Annual,104.85545349121094,78.37537384033203,133.78622436280136
2015,OC,Autumn,57.0734748840332,35.78824702898661,159.47546924499173
2015,OC,Spring,44.804283142089844,39.30364545186361,113.99523537063003
2016,OC,Annual,71.06742095947266,78.37537384033203,90.67570268213674
2016,OC,Autumn,18.698375701904297,35.78824702898661,52.24725225228156
2016,OC,Spring,47.6351203918457,39.30364545186361,121.19771548973976
2017,OC,Annual,110.10044860839844,78.37537384033203,140.4783712198903
2017,OC,Autumn,37.82111358642578,35.78824702898661,105.68026300867058
2017,OC,Spring,69.17186737060547,39.30364545186361,175.99351555143247
2018,OC,Annual,41.75202941894531,78.37537384033203,53.271872749217664
2018,OC,Autumn,5.5660271644592285,35.78824702898661,15.552667779316035
2018,OC,Spring,33.397483825683594,39.30364545186361,84.97299281458898
2019,OC,Annual,48.78362274169922,78.37537384033203,62.24355987262305
2019,OC,Autumn,8.20640754699707,35.78824702898661,22.9304540687626
2019,OC,Spring,22.017417907714844,39.30364545186361,56.01876786386204
2020,OC,Annual,50.16042709350586,78.37537384033203,64.00023966162348
2020,OC,Autumn,5.233127593994141,35.78824702898661,14.62247533318852
2020,OC,Spring,42.85244369506836,39.30364545186361,109.02918343172792
2021,OC,Annual,52.330257415771484,78.37537384033203,66.76874999330758
2021,OC,Autumn,7.972170352935791,35.78824702898661,22.275945358482492
2021,OC,Spring,42.28835678100586,39.30364545186361,107.59398090133323
2022,OC,Annual,50.878414154052734,78.37537384033203,64.91632723526565
2022,OC,Autumn,15.032463073730469,35.78824702898661,42.003910003065975
2022,OC,Spring,32.99632263183594,39.30364545186361,83.95232109511967
2023,OC,Annual,50.97393035888672,78.37537384033203,65.03819740972705
2023,OC,Autumn,13.05679988861084,35.78824702898661,36.48348542479746
2023,OC,Spring,34.99790573120117,39.30364545186361,89.04493547313363
2002,PM25,Annual,40.939964294433594,184.5648625691732,22.181884311316125
2002,PM25,Autumn,23.714685440063477,84.54348882039388,28.05028012321978
2002,PM25,Spring,13.41323471069336,92.21093495686848,14.546251718375242
2003,PM25,Annual,178.2281494140625,184.5648625691732,96.56667413997302
2003,PM25,Autumn,15.183992385864258,84.54348882039388,17.959978465191423
2003,PM25,Spring,152.11549377441406,92.21093495686848,164.96470168702427
2004,PM25,Annual,157.40298461914062,184.5648625691732,85.28328871924225
2004,PM25,Autumn,132.17254638671875,84.54348882039388,156.33675429163932
2004,PM25,Spring,19.797130584716797,92.21093495686848,21.469395786927954
2005,PM25,Annual,50.03977966308594,184.5648625691732,27.1123002322999
2005,PM25,Autumn,26.773151397705078,84.54348882039388,31.66790461484571
2005,PM25,Spring,18.55255889892578,92.21093495686848,20.11969503140133
2006,PM25,Annual,60.0582389831543,184.5648625691732,32.54045117100501
2006,PM25,Autumn,19.38360023498535,84.54348882039388,22.927372060744165
2006,PM25,Spring,37.590553283691406,92.21093495686848,40.76583032291596
2007,PM25,Annual,62.53263854980469,184.5648625691732,33.88111782456319
2007,PM25,Autumn,25.415090560913086,84.54348882039388,30.061558749847062
2007,PM25,Spring,15.155074119567871,92.21093495686848,16.43522444128414
2008,PM25,Annual,106.13131713867188,184.5648625691732,57.50353326267336
2008,PM25,Autumn,39.12615203857422,84.54348882039388,46.279320364569664
2008,PM25,Spring,56.841705322265625,92.21093495686848,61.64312871228693
2009,PM25,Annual,89.97328186035156,184.5648625691732,48.748868342494184
2009,PM25,Autumn,29.24410629272461,84.54348882039388,34.590607391246245
2009,PM25,Spring,57.16379165649414,92.21093495686848,61.99242170490128
2010,PM25,Annual,87.4745101928711,184.5648625691732,47.39499652057903
2010,PM25,Autumn,61.94484329223633,84.54348882039388,73.26979777689725
2010,PM25,Spring,20.473384857177734,92.21093495686848,22.20277331181397
2011,PM25,Annual,164.0052490234375,184.5648625691732,88.8604942135017
2011,PM25,Autumn,126.85176086425781,84.54348882039388,150.0432057325486
2011,PM25,Spring,31.208433151245117,92.21093495686848,33.84461199297329
